img1,img2,verified,distance
task_datasets\7T5A8407.JPG,task_datasets\IMG_6750.JPG,True,0.5079562661773107
task_datasets\7T5A8407.JPG,task_datasets\IMG_6752.JPG,True,0.6013444530398298
task_datasets\7T5A8407.JPG,task_datasets\IMG_6753.JPG,False,0.7195771121029383
task_datasets\7T5A8408.JPG,task_datasets\7T5A8416.JPG,True,0.47483658345373614
task_datasets\7T5A8408.JPG,task_datasets\7T5A8418.JPG,True,0.5221108010943918
task_datasets\7T5A8408.JPG,task_datasets\7T5A8431.JPG,True,0.428225746309319
task_datasets\7T5A8408.JPG,task_datasets\7T5A8432.JPG,True,0.4767971303860111
task_datasets\7T5A8408.JPG,task_datasets\7T5A8439.JPG,True,0.463552614975727
task_datasets\7T5A8408.JPG,task_datasets\7T5A8441.JPG,True,0.5012267125600806
task_datasets\7T5A8408.JPG,task_datasets\7T5A8442.JPG,True,0.5013679992506368
task_datasets\7T5A8408.JPG,task_datasets\7T5A8445.JPG,True,0.5292796135078671
task_datasets\7T5A8408.JPG,task_datasets\7T5A8447.JPG,True,0.6340382918480028
task_datasets\7T5A8408.JPG,task_datasets\7T5A8449.JPG,True,0.4896579964597513
task_datasets\7T5A8408.JPG,task_datasets\7T5A8450.JPG,True,0.11440991082849461
task_datasets\7T5A8408.JPG,task_datasets\7T5A8452.JPG,True,0.1534208366873947
task_datasets\7T5A8408.JPG,task_datasets\7T5A8455.JPG,False,0.7119576432450307
task_datasets\7T5A8408.JPG,task_datasets\7T5A8456.JPG,True,0.5659804293106779
task_datasets\7T5A8408.JPG,task_datasets\7T5A8457.JPG,True,0.5513515517948719
task_datasets\7T5A8408.JPG,task_datasets\7T5A8458.JPG,True,0.6225291167186109
task_datasets\7T5A8408.JPG,task_datasets\7T5A8459.JPG,True,0.4460842796145861
task_datasets\7T5A8408.JPG,task_datasets\7T5A8460.JPG,True,0.6517819390861459
task_datasets\7T5A8408.JPG,task_datasets\7T5A8461.JPG,True,0.5204447670424446
task_datasets\7T5A8408.JPG,task_datasets\7T5A8468.JPG,True,0.4635074779687741
task_datasets\7T5A8408.JPG,task_datasets\7T5A8477.JPG,True,0.5431169498211825
task_datasets\7T5A8408.JPG,task_datasets\7T5A8478.JPG,True,0.5127333814539805
task_datasets\7T5A8408.JPG,task_datasets\7T5A8480.JPG,True,0.5866144862546816
task_datasets\7T5A8408.JPG,task_datasets\7T5A8485.JPG,True,0.549470946410902
task_datasets\7T5A8408.JPG,task_datasets\7T5A8500.JPG,True,0.3133646730707199
task_datasets\7T5A8408.JPG,task_datasets\7T5A8508.JPG,True,0.3306664458276287
task_datasets\7T5A8408.JPG,task_datasets\7T5A8733.JPG,False,0.8439870658875485
task_datasets\7T5A8408.JPG,task_datasets\7T5A8735.JPG,True,0.4711141935747104
task_datasets\7T5A8408.JPG,task_datasets\7T5A8740.JPG,True,0.6749955570664723
task_datasets\7T5A8408.JPG,task_datasets\7T5A8745.JPG,True,0.24495690770832068
task_datasets\7T5A8408.JPG,task_datasets\7T5A8749.JPG,False,0.6803518437166869
task_datasets\7T5A8408.JPG,task_datasets\7T5A8752.JPG,True,0.47113412340977623
task_datasets\7T5A8408.JPG,task_datasets\7T5A8753.JPG,True,0.6094525077432165
task_datasets\7T5A8408.JPG,task_datasets\7T5A8758.JPG,True,0.2469724393266327
task_datasets\7T5A8408.JPG,task_datasets\7T5A8762.JPG,True,0.48024051614273267
task_datasets\7T5A8408.JPG,task_datasets\7T5A8768.JPG,True,0.47676474700552174
task_datasets\7T5A8408.JPG,task_datasets\7T5A8775.JPG,True,0.5486054894340415
task_datasets\7T5A8408.JPG,task_datasets\7T5A8795.JPG,True,0.45607929976383754
task_datasets\7T5A8408.JPG,task_datasets\7T5A8921.JPG,True,0.481164057382236
task_datasets\7T5A8408.JPG,task_datasets\7T5A8935.JPG,True,0.4567911677507889
task_datasets\7T5A8408.JPG,task_datasets\7T5A8936.JPG,True,0.5473326694446636
task_datasets\7T5A8408.JPG,task_datasets\7T5A9437.JPG,True,0.13991496999836273
task_datasets\7T5A8408.JPG,task_datasets\7T5A9442.JPG,True,0.1422276745228972
task_datasets\7T5A8408.JPG,task_datasets\7T5A9446.JPG,True,0.18456938203318451
task_datasets\7T5A8408.JPG,task_datasets\7T5A9449.JPG,True,0.21889022164843341
task_datasets\7T5A8408.JPG,task_datasets\7T5A9450.JPG,True,0.5941087590988687
task_datasets\7T5A8408.JPG,task_datasets\7T5A9451.JPG,True,0.18340103442382505
task_datasets\7T5A8408.JPG,task_datasets\7T5A9452.JPG,False,0.6992001179311464
task_datasets\7T5A8408.JPG,task_datasets\7T5A9454.JPG,True,0.23012217102126853
task_datasets\7T5A8408.JPG,task_datasets\7T5A9466.JPG,True,0.5739642084487342
task_datasets\7T5A8408.JPG,task_datasets\7T5A9474.JPG,True,0.5745970555636275
task_datasets\7T5A8408.JPG,task_datasets\7T5A9492.JPG,True,0.11168255724499054
task_datasets\7T5A8408.JPG,task_datasets\7T5A9493.JPG,True,0.16132707985874595
task_datasets\7T5A8408.JPG,task_datasets\7T5A9496.JPG,True,0.12305961613618754
task_datasets\7T5A8408.JPG,task_datasets\7T5A9500.JPG,True,0.5456935169193979
task_datasets\7T5A8408.JPG,task_datasets\7T5A9564.JPG,True,0.42812340399559023
task_datasets\7T5A8408.JPG,task_datasets\7T5A9583.JPG,True,0.31954203862243624
task_datasets\7T5A8408.JPG,task_datasets\7T5A9599.JPG,True,0.5136858758879966
task_datasets\7T5A8408.JPG,task_datasets\7T5A9635.JPG,True,0.16995056968927313
task_datasets\7T5A8408.JPG,task_datasets\7T5A9654.JPG,True,0.5779596259832263
task_datasets\7T5A8408.JPG,task_datasets\7T5A9676.JPG,True,0.578759083231163
task_datasets\7T5A8408.JPG,task_datasets\7T5A9678.JPG,True,0.12707580932418205
task_datasets\7T5A8408.JPG,task_datasets\7T5A9679.JPG,True,0.5642954422141615
task_datasets\7T5A8408.JPG,task_datasets\7T5A9685.JPG,True,0.510030461260504
task_datasets\7T5A8408.JPG,task_datasets\7T5A9686.JPG,True,0.5039413454578929
task_datasets\7T5A8408.JPG,task_datasets\IMG_6716.JPG,True,0.6732976689069163
task_datasets\7T5A8408.JPG,task_datasets\IMG_6717.JPG,True,0.6421597150763532
task_datasets\7T5A8408.JPG,task_datasets\IMG_6721.JPG,True,0.51894566685844
task_datasets\7T5A8408.JPG,task_datasets\IMG_6725.JPG,True,0.12444429070878027
task_datasets\7T5A8408.JPG,task_datasets\IMG_6750.JPG,True,0.22768973088031264
task_datasets\7T5A8408.JPG,task_datasets\IMG_6752.JPG,True,0.09492996373188223
task_datasets\7T5A8408.JPG,task_datasets\IMG_6753.JPG,True,0.4201906558279699
task_datasets\7T5A8416.JPG,task_datasets\7T5A8418.JPG,True,0.3941305901683555
task_datasets\7T5A8416.JPG,task_datasets\7T5A8431.JPG,True,0.39023683079724314
task_datasets\7T5A8416.JPG,task_datasets\7T5A8432.JPG,True,0.23513534884491993
task_datasets\7T5A8416.JPG,task_datasets\7T5A8439.JPG,True,0.3573955014919993
task_datasets\7T5A8416.JPG,task_datasets\7T5A8441.JPG,True,0.41070604716437886
task_datasets\7T5A8416.JPG,task_datasets\7T5A8442.JPG,True,0.38854907439506303
task_datasets\7T5A8416.JPG,task_datasets\7T5A8445.JPG,True,0.5964451323525584
